"","Description.of.incident","Information.Source"
"488","""On July 11th, our firm was subject to a ransomware virus wherein some of our network computer files were encrypted without our permission.  Fortunately, the virus was detected within an hour and immediately stopped.  Although there is no evidence that any files were viewed nor ex-filtrated out of our network, nor that such activities were intended, we are notifying you of this incident because your tax information was located in the same drive as some of the files infected by the virus.""The information compromised included names, gender, dates of birth, telephone numbers, addresses, Social Security numbers, all employment (W-2) information, 1099 information, direct deposit information, bank account and routing information.More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-63986","California Attorney General"
"489","""Our Security Team detected some unauthorized login attempts to Zazzle accounts, including on using your Zazzle username (email address) and password.  Given the nature of the incident, Zazzle believes that the usernames and passwords used in the incident, including yours, were obtained from a data breach of some other website.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-63988 ","California Attorney General"
"490","""Someone broke into our locked storage unit, which was within a gated storage facility, and stole a password-protected server. Upon discovery of the theft, we promptly notified the Napa Police Department and will provide whatever cooperation is necessary to identify the perpetrator(s) and hold them accountable. On September 8, 2016, we confirmed that your personal information may have been on the server. In December 2012, Dr. Justin Newberry, DDS, purchased Napa Valley Dentistry, including this server, from Dr. C. Michael Quinn, DDS. The server may therefore contain personal information of Dr. Quinn's former patients who may not currently have a relationship with Napa Valley Dentistry. While there is no indication that your personal information was, in fact, accessed without authorization, we are notifying you out of an abundance of caution and offering you identity protection services.""The information compromised included names, addresses, dates of birth, Social Security numbers and dental insurance information. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64007","California Attorney General"
"491","""We recently learned that a departing employee of Premier America emailed to his non-Premier America account lists that reflected some of your personal information, in violation of our company policies, during late June 2016.  At this point, we assume that the purpose of the acquisition was solely for solicitation purposes (which we consider to be inappropriate) and do not believe that you are at risk for identity theft.""The information compromised included names, addresses Social Security number, employer identification number, account numbers, credit/debit card numbers, driver's license numbers, California identification card numbers, access codes, passwords, security codes and PIN's. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64011","California Attorney General"
"492","""On July 27, 2016, Dr. Meadows found that his patient file had been unlawfully accessed. The patient file contained information used for billing, which included: Names and addresses, birth dates, telephone numbers, insurance numbers, treatment codes, billing information.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64012","California Attorney General"
"493","""We want to inform you of an issue involving your Producteev username (i.e. your email address) and password.  We learned on August 24 that your Producteev username and password had been held in a file outside our normal encryption procedures, and we believe that this file was potentially accessed by an unauthorized third party.  We cannot confirm that your username or password was compromised, but we are notifying you so that you may take protective action.""The information compromised included usernames and passwords. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64018","California Attorney General"
"494","""In late August, Novation learned that some of its confidential information may be in the possession of an unidentified third-party.  Novation promptly initiated a fact-gathering process and, subsequently, on September 8, 2016, determined that an unidentified third-party was likely in possession of a set of Novation files including applications and contracts.  Novation has no evidence that any of your information has been misused.""The information compromised included names, dates of birth, addresses, telephone numbers, Social Security numbers, and financial account numbers. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64028","California Attorney General"
"495","The City of Vallejo submitted a notification of a data breach to the California General Attorney's office. No specific information was provided on the AG's post. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64148","California Attorney General"
"496","s reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","California Attorney General"
"497","""The California Environmental Health Tracking Program (CEHTP) of the Public Health Institute (PHI) became aware on August 4, 2016 that an electronic database containing email addresses and corresponding passwords for individual user accounts at one or more of the sites listed below was accessible on the internet without encryption or other security features for approximately 30 days.""The information compromised included email addresses and passwords.More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64216 ","California Attorney General"
"498","""As some of you may know, we have recently learned that certain employees may have viewed, or had the ability to view, certain information of other employees.The incident occurred when, during the course of an upgrade by a third party IT vendor, employee access limitations were removed to certain information of employees for a limited time period in June 2016.  This allowed certain employees to potentially access that information. As soon as this error was discovered, it was corrected.""The information compromised included names, bank accounts, Social Security numbers. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64308","California Attorney General"
"499","""On August 1st 2016, USC Keck and Norris Hospitals detected ransomware on two servers after being notified earlier that day that certain hospital employees could not access their files.  This type of malware attack encrypted files on both servers, which made the files inaccessible to our employees.  However, the attack was quickly contained and isolated to prevent the spreading of malware to other servers.""The information stored on the servers held by the ransomware included departmental files including ""templates, training manuals, human resource materials and other information needed for hospital operations.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-63962","California Attorney General"
"500","""Integrity receives laboratory specimens from companies that work with various healthcare providers, and then submits these specimens to laboratories for testing.  In the course of providing this service and for billing purposes, Integrity maintains certain patient information on specimens submitted by the healthcare providers.  On August 15, 2016, Integrity leaned that suspicious activity on its network may have affected the systems related to its laboratory services.  Integrity immediately began investigation, with the assistance of an expert forensics company, to determine the scope of the incident.  Our investigation has determined that an unauthorized individual potentially could have accessed your lab results, lab testing information, health insurance information, and scanned driver's license if you provided one.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64398","California Attorney General"
"501","""On or about August 17, 2016, a departing CalOptima employee downloaded data, which included protected health information, to an unencrypted USB flash drive. Shortly after, the departing employee returned the USB flash drive to CalOptima.  While we are still investigating the contents of the flash drive, we do not believe the information was shared.""The information included names, demographic information, Social Security number and additional plan related data.More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64419","California Attorney General"
"502","""On July 28, 2016, we were advised by our third-party information technology provider that it had identified two unauthorized administrative accounts on a server in one of our branch offices.  We immediately began an investigation and promptly disabled the unauthorized accounts.Findings from our investigation show that the server may have contained information related to your mortgage application, including your name, address, driver's license number, date of birth, Social Security number, and financial account numbers.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64437  ","California Attorney General"
"503","""On July 22, 2016, Eastwood learned that malicious software code may have been inserted into its e-commerce website.  We immediately removed the malicious software, began an investigation and hired a third-party cyber-security firm to assist us.  Findings from the investigation show that if a customer placed an order on our website from May 29, 2016 to July 22, 2016, information associated with the order being placed may have been obtained by an unauthorized third-party.""The information compromised included names, addresses, phone numbers, email addresses, payment card numbers, expiration date and security code.The Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64455","California Attorney General"
"504","""To ensure you continue having the highest level of customer security on PremiumBeat, we're regularly monitoring our site and the Internet for any security matters that would compromise your account information.  Unfortunately, on the afternoon of September 29th, we discovered a security bug in third party software which that resulted in unauthorized access to PremiumBeat user information.  We immediately investigated and learned that this unauthorized party may have obtained the names, addresses, phone numbers, emails addresses, and encrypted passwords for PremiumBeat users.  We sincerely regret any concerns this incident may cause you.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64473","California Attorney General"
"505","""On September 11, 2016, we were notified by our billing and software companies that their Amazon “S3” storage account was vulnerable because it  was accessible to persons outside their organization, and that a security  researcher who works for a software company accessed and downloaded  information from the account.    This storage account contained, among other things, protected health  information of certain Silver Creek Fitness & Physical Therapy, Silver Creek  Physical Therapy Gilroy, Silver Creek Physical Therapy Sunnyvale, and Silver  Creek Physical Therapy Los Gatos patients. The billing and software companies immediately took steps to secure the storage account and  launched an investigation to determine whether any sensitive information was accessed or  acquired. They determined that  the  storage account was vulnerable from  May, 2016 to September 11, 2016. However, we have no indication that any fraud has resulted from this incident.    While we have no indication that any fraud has resulted from this incident, we have confirmed that the data affected by this incident possibly included your name, Medicare number, prescription, date of birth, treatment location, treatment date, Social Security number, drivers license number, and progress notes. This information may have been downloaded by the security researcher on or around September 10, 2016 and may have been accessible to individuals who were able to access the “S3” account.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64521","California Attorney General"
"506","""Cisco’s investigation found this to be the result of an incorrect security settingfollowing system maintenance. The issue was immediately fixed and passwords  to  the  site  have  been  disabled.  Because Cisco  takes  its  responsibility  to protect information seriously, and since many people use the same passwords on multiple websites, we wanted to alert you to this incident.As a precaution, users of Cisco’s Professional Careers Website will need to reset their passwords at their next login by clicking “forgot my password”. WHAT INFORMATION WAS INVOVLED:Exposed data included the following data fields: name, address, email, phone number, username and pass-word, answers to security questions , education and professional profile, cover letter and resume text, and voluntary information (if entered) such as gender, race, veteran status, and disability.More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64548","California Attorney General"
"507","""We recently discovered that your personal information may have been exposed in July and August 2016 as a result of an incident currently under investigation. What Information Was Involved? The incident may have exposed your personal information, including payment card information and user names and passwords. What Are We Doing? We are requiring that all Beyond Yoga customers reset their passwords. Effective immediately, your password is no longer valid and access to your Beyond Yoga account will be disabled until a new password is set. What Can You Do? We recommend that you review your online accounts for suspicious activity and change passwords for any other accounts that you use the same or similar information as your Beyond Yoga account. We also recommend that you review your payment card accounts for unauthorized transactions. We thank you for being a loyal Beyond Yoga customer and assure you that customer privacy and security is our main priority. For any questions or concerns,  contact privacy@beyondyoga.com.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64630","California Attorney General"
"508","""On August 22, 2016, I received confirmed notice from my electronic medical record provider that their electronic system was subject to a malware attack on July 26, 2016.  They became aware of the incident on July 27, 2016, and I am informed that they promptly took action to secure their systems.I  immediately requested further information to understand what happened and  to determine which, if any, of my patients  were  affected.  On  September 14,  2016,  I was provided further detail of the events, and learned that the company, Marin Medical Practice Concepts, Inc. (MMPC), experienced a ransomware infection.  Ransomware is a type of malware which restricts access to the computer system that it infects, and demands that a ransom be paid to the creator of the malware to remove the restriction.  The third party forensic IT firm hired to investigate this incident found no evidence that patient information was viewed, transferred or accessed.  However, during the restoration process of their system, MMPC has informed me that one of their backup systems failed causing the loss of consultation notes between July 11, 2016 and July 26, 2016.  Given these events, I wanted to notify you of this matter.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64633","California Attorney General"
"509","On  October  14,  2016,  National  Wholesale  discovered  that it  had  been  the  victim  of  a computer  related  incident. Unknown individuals targeted our website and inserted harmful code.   This code allowed unauthorized individuals to monitor the information our customers typed into the website when placing an online order.  We believe that the information of 14,281 of our customers may have been compromised; we are notifying you because our records indicate that you placed an order on www.shopnational.com during the relevant time periods.National  Wholesale  immediately  removed  the  malicious  software,  began  an  investigation, and  engaged IT  security firms to assist in repairing and securing our website.We also reported the incident to the FBI. Findings from the investigation show that if  a  customer  placed  an  order  on  our  website  from September 1,  2016  through  October  15,  2016,  information associated with the order being placed, including the customer’s name, address, phone number, email address, payment card number, expiration date and credit card security code (CVV) may have been obtained by unauthorized individuals.  If you placed an  order  as  an  existing  National  Wholesale  customer  during this  same time  period,  your  username  and  password  to  your account  may  have  also  been  exposed.Please  be  aware  that  National  Wholesale  does  not  receive  or  retain your  credit  card information when  you  place  an order. However,  given  the  nature  of  this incident,  it  is  possible  that  your  credit  card  number was intercepted when you typed it into the website.More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64682","California Attorney General"
"510","""On October 6, 2016, we learned that, late on October 5, a Welk team member’s home was burglarized, and the team member’s company laptop was stolen.  Upon learning of the theft, we immediately launched an investigation to  determine  what information  may  have  been  involved  in  this  incident.    While  our  investigation  is  ongoing,  we  have determined that your information may have been stored on the stolen laptop. To date, we have no evidence to suggest that the data stored on the laptop has been accessed.  Further, we have no evidence to date that there has been any attempted or actual misuse of data stored on the laptop.  This incident has been reported to local police and, to our knowledge, there is an ongoing criminal investigation.    The  information  contained  on  the  stolen  laptop  may  include  your  name,  Social Security number, address, certain benefit plan participation information, and date of birth.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64705","California Attorney General"
"511","On October 6, 2016, we learned that, late on October 5, a Welk team member’s home was burglarized, and the team member’s company laptop was stolen.  Upon learning of the theft, we immediately launched an investigation to  determine  what information  may  have  been  involved  in  this  incident.    While  our  investigation  is  ongoing,  we  have determined that your information may have been stored on the stolen laptop. To date, we have no evidence to suggest that the data stored on the laptop has been accessed.  Further, we have no evidence to date that there has been any attempted or actual misuse of data stored on the laptop.  This incident has been reported to local police and, to our knowledge, there is an ongoing criminal investigation.    The  information  contained  on  the  stolen  laptop  may  include  your  name,  Social Security number, address, certain benefit plan participation information, and date of birth.More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64705","California Attorney General"
"512","""On September 27, 2016, we learned that cyber criminals gained unauthorized access to our computer system and to your personal information, including your age, email address and password that you provided to create, and used to access, your www.i-Dressup.com account, as well as any additional personal information that you may have voluntarily provided such as your first name, last name, gender and country (collectively, “Personal Information”). Because it was not required to create or use any www.i-Dressup.com account, no Social Security or other identification numbers, physical addresses, mailing addresses, credit card numbers, banking or other financial information was compromised. Be that as it may, we want to make you aware of the incident, update you on the steps we have taken, and propose further steps you should take to guard yourself against identity theft or fraud.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64721","California Attorney General"
"513","""On or around July 21, 2016, UFCW Local 655 Food Employers Joint Pension Plan was the victim of ransomware attack.  We immediately began an investigation into the nature and the scope of this incident.  We retained a third-party data forensic firm to assist in our investigation.  After an extensive investigation, we found no evidence demonstrating that an unauthorized individual accessed or acquired your child's information, however we determined that an unauthorized user gained access to our server on July 14, 2016, one week before the ransomware attack.  While there is no evidence that your child's information was accessed or acquired, we are unable to definitively rule out this possibility, and are providing notice out of an abundance of caution.""The information compromised included union members children's name, Social Security number, date of birth, credit card information, health insurance information, state ID and/or drivers license number, and bank account information. More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64824","California Attorney General"
"514","""Our records show that you made a purchase on eileenfisher.com between Wednesday, September 7 – Monday, October 24, 2016. In late October, we were informed of a possible data security incident that affected our website during that time.We immediately began investigating the situation and are working diligently with a leading forensics firm to explore the issue. At this time, we believe that malicious code was added to our website which allowed unauthorized individuals to capture certain information during the checkout process. We have removed that malicious code and excluded the unauthorized individuals from our website.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64832","California Attorney General"
"515","""We value and respect the privacy of your information, which is why we are writing to advise you of a recent incident that may have involved your personal information. We recently learned that the email account of one of our employees was compromised when it was used to spam or send an unsolicited email. Upon learning of the incident, we promptly deleted  the  email  account  credentials  to  prevent  any  additional  impact  on  our  system.  In  addition,  we  have  also  retained a leading forensic security firm to help us analyze the situation, identify potentially affected members and remediate our system.It is important to note that we have no reason to believe that the intent of the compromise was anything other than sending the unsolicited email, and have no evidence to suggest that anyone’s information has been or will be misused.  Protecting your data is a top priority for everyone at BCU. We take seriously the trust you have placed in us, and that’s why we are sharing with you what we know about this situation. The enclosed notice contains full details, including what personal information was potentially accessed and the steps we encourage you to take to protect against fraud.I understand you may have questions or concerns and we’re here to help in every way possible. A team of representatives who are experts in dealing with these matters is available to take your call at 844-512-9008 from 8 a.m. - 8 p.m. CST, Monday through Friday.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64838","California Attorney General"
"516","""Luque Chiropractic, Inc. on behalf of itself and Watsonville Chiropractic, Inc. (David W. Christie, D.C.) (collectively “Luque”) today announced a data incident affecting the security of certain patient records.  On September 18, 2016, Luque was notified by its billing software company that its Amazon “S3” storage account was vulnerable because it was accessible to persons outside their organization, and that a security researcher accessed and downloaded information from the storage account.  This storage account contained, among other things, protected health information of certain Luque Chiropractic, Inc. and Watsonville Chiropractic, Inc. (David W. Christie, D.C.) patients.  The billing software company immediately took steps to secure the storage account and launched an investigation to determine to what extent sensitive information was accessed or acquired.  They determined that the storage account was vulnerable from May, 2016 to September 11, 2016 and that information was accessed and downloaded by the security researcher on or around September 10, 2016.  However, there are no indications that any fraud has resulted from this incident.""The information compromised included patient names, addresses, diagnoses, dates of birth, treatment locations, treatment dates, and Social Security numbers.More information: https://oag.ca.gov/system/files/Luque%20--%20Press%20Release_1.pdf?","California Attorney General"
"517","""QVC uses technology to track activities that occur on its website, and the tracking technology sends data to companies that provide services to QVC. We recently learned that as the result of a technical setting, instead of sending anonymous data, the tracking technology unintentionally sent limited information about website visitors to those online marketing partners. While the information was sent securely, neither QVC nor the online marketing partners intended for this data to be sent.""The information compromised included email addresses and passwords used to access QVC accounts. More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64962","California Attorney General"
"518","""On or about August 22, 2016, we received confirmed notice from our electronic medical record provider that their electronic system was subject to a malware attack on July 26, 2016. They became aware of the incident on July 27, 2016, and we are informed that they promptly took action to secure their systems. We immediately requested further information to understand what happened and to determine which, if any, of our patients were affected. On September 14, 2016, we were provided further detail of the events, and learned that the company, MMPC, experienced a ransomware infection. Ransomware is a type of malware which restricts access to the computer system that it infects, and demands that a ransom be paid to the creator of the malware to remove the restriction. The third party forensic IT firm hired to investigate this incident found no evidence that patient information was viewed, transferred or accessed. However, during the restoration process of their system, MMPC has informed us that one of their backup systems failed causing the loss of consultation notes between July 11, 2016 and July 26, 2016. Given these events, we wanted to notify you of this matter.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64977","California Attorney General"
"519","""In late September, Springfield Armory received a report from a payment card network that it had noticed a pattern of unauthorized charges occurring on payment cards after they were used to make a purchase on our website. Springfield Armory immediately initiated an investigation and engaged a leading cyber security firm to examine our website network. In early October, the investigation determined that an unauthorized person gained access to the web server and installed code that was designed to copy information entered during the checkout process. What Information Was Involved Information entered during the checkout process included order ID, name, address, email address, phone number, payment card number, expiration date and card security code. This information from orders placed between October 3, 2015 and October 9, 2016 may have been affected.""More information:   https://oag.ca.gov/ecrime/databreach/reports/sb24-64988","California Attorney General"
"520","""On Friday, October 28, 2016, at approximately 11:00 a.m., the Confidential Alpha Roster (MIRS report) that contains all staff names, social security, dates of birth, and other non-confidential data such as classification, tenure, and time base had been saved in a none-secure location, accessible to all FSP Staff.The error was discovered and the file was removed from the non-secure location on the morning of Saturday, October 29, 2016.To protect yourself from the possibility of identity theft, we recommend that you place a fraud alert on your credit files by following the recommended privacy protection steps outlined in the enclosure.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65014 ","California Attorney General"
"521","""The Madison Square Garden Company (NYSE: MSG) is notifying customers that it identified and has addressed a payment card issue. This issue may have affected cards used at merchandise and food and beverage locations at Madison Square Garden, The Theater at Madison Square Garden, Radio City Music Hall, Beacon Theatre and The Chicago Theatre. After MSG was notified that payment card issuing banks identified a transaction pattern indicating a potential data security concern, MSG immediately commenced an investigation and engaged leading computer security firms to examine its network.  In the last week of October 2016, as soon as the investigation found signs of external unauthorized access, MSG worked with security firms to stop it and to implement enhanced security measures. MSG is also working with law enforcement regarding this matter.Findings from the investigation show external unauthorized access to MSG’s payment processing system for the properties listed above and the installation of a program that looked for payment card data as that data was being routed through the system for authorization. Data contained in the magnetic stripe on the back of payment cards swiped in person at the MSG locations listed above between November 9, 2015 and October 24, 2016 may be affected, including credit card numbers, cardholder names, expiration dates and internal verification codes. Not all cards used during this timeframe were affected, and this incident did not involve cards used at MSG websites, the venues’ Box Offices or on Ticketmaster.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65042","California Attorney General"
"522","""Atlantis, Paradise Island (the “Resort”) today announced that a recent data security incident may have compromised the security of payment information of some customers who used debit or credit cards at food and beverage and retail locations at the Resort between March 9, 2016 and October 22, 2016. Customers can now safely use their credit and debit cards at the food and beverage and retail locations at the Resort. This incident did not affect credit and debit cards used to make or pay for hotel reservations or purchases made by guests who charged their food and beverage or retail purchases back to their room.What Happened? The Resort began investigating unusual activity after receiving reports from its credit card processor. The Resort immediately began working with third-party forensic experts to investigate these reports and to identify any signs of compromise on its computer systems. On October 21, 2016, the Resort discovered suspicious files on its computer systems that indicated a potential compromise of customers’ credit and debit card data for some credit and debit cards used at food and beverage and retail locations at the resort.Since that time, the Resort has been working with third-party forensic investigators to determine what happened and what information was affected. The Resort has confirmed that malware may have captured data from some credit and debit cards used at food and beverage and retail locations at the Resort. The Resort has removed the malware at issue to contain this incident and implemented additional procedures in an effort to prevent any further unauthorized access to customers’ credit and debit card information. This incident did not affect credit and debit cards used to make or pay for hotel reservations or purchases made by guests who charged their food and beverage or retail purchases back to their room.What Information Was Involved? Through the ongoing third-party forensic investigations, the Resort confirmed that malware may have captured credit and debit card data from some credit and debit cards used at food and beverage and retail locations between March 9, 2016 and October 22, 2016. The information at risk as a result of this event for credit or debit cards used at the impacted locations includes the card number, expiration date, CVV and in some instances, cardholder name. This incident did not involve customers’ Social Security numbers as this information is never collected by the Resort. This incident did not involve customers’ PIN numbers, either."" ","California Attorney General"
"523","""The unauthorized access was to a specific group of Irvine Company employees’ personal information within the Core Benefit Administration (CBA) web portal (known to you as BenefitsNow) set up and maintained by Aon Hewitt, a benefits service provider.  An unauthorized individual potentially accessed your personal information.  We have confirmation that the unauthorized individual accessed 55 records of the 2,892 current or former employees receiving this letter.  Since we cannot verify the identity of those 55 impacted employees, we are notifying you at this time of the unlikely, but potential access of your personal information.  We sincerely apologize for any inconvenience you might experience as a result of this incident.  What Information Was Involved?  The personal information potentially accessed by the unknown third person or persons was limited to your first and last name, social security number, saved contact information (such as mailing address or phone numbers), date of birth, beneficiary information, employee ID number, employment status, and health care plan status. The accessed data did not include any other personal information.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65100","California Attorney General"
"524","""On November 4, 2016, I discovered that my home was broken into earlier in that day.  Upon discovery, I immediately notified the Santa Barbara County Sheriff’s office and a police report was filed.  Unfortunately, along with personal effects, the burglars stole three back up hard drives for my practice. On November 9, 2016, the Sherriff’s office miraculously caught the burglars and one of the stolen hard drives was located and returned to me. What Information Was Involved? I am notifying you of this incident because your information is believed to have been on a stolen hard drive. Though the hard drives require specific proprietary software for the files to be readable, I cannot be certain that the information was not accessed. Accordingly, I am notifying you of the potential information that may have been exposed: your name, date of birth, telephone number(s), address, social security number, all employment (W-2) information, 1099 information (including account number if provided to me), and direct deposit bank account information (including account number and routing information if provided to me). ""","California Attorney General"
"525","                                                        As
 reported by Health and Human Services hacking/IT Incident. No specific information as
 to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...              ","California Attorney General"
"526","                                                        As
 reported by Health and Human Services hacking/IT incident. No specific information as
 to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...              ","California Attorney General"
"527","""We are writing to tell you about a privacy incident involving Group Health, Inc. (GHI), an EmblemHealth company, and what we are doing to protect your personal information.What HappenedEarlier this month, GHI mailed you a copy of your Medicare Prescription Drug Plan Evidence of Coverage (a document that describes the health care benefits covered by your plan and how your plan works). On October 13, 2016, we learned of an unintentional disclosure of your Health Insurance Claim Number (HICN) as a result of this mailing.Our investigation found that, while preparing the Evidence of Coverage documents for mailing, HICNs were inadvertently included in the electronic file sent to EmblemHealth’s vendor and were then disclosed on the external mailing label that was affixed to the package.What Information Was InvolvedGHI is required to assign each member a “mailing identifier” number, which is randomly selected and contains no member information. This mailing identifier helps us keep track of the mailings we send to you. In this instance, the “mailing identifier” that GHI intended to use was mistakenly replaced with your HICN, which mirrors your Social Security number. As a result, your proper name and address appeared on the external mailing label of the evidence of coverage documents, along with the nine digits of your Social Security number that were listed as the package number (PKG#) located above the barcode. At no time were these nine digits identified as your Social Security number and no health information or financial information about you was disclosed.""","California Attorney General"
"528","""On October 12, 2016, we learned that unauthorized individuals installed malicious software on the computer server used to process credit card transactions at www.LANG.com. Based on our investigation, we believe that customers who placed an order on our website from September 1, 2016 to October 19, 2016, may have had information associated with the order transmitted outside of our system. What Information Was InvolvedOur records show that you made a purchase using a payment card during this time. The information that could have been transmitted may include your name, address, payment card number, expiration date and security code (CVV).""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65124","California Attorney General"
"529","""On November 7, 2016, we learned that an SJECCD employee had inadvertently uploaded a file containing the personal information of certain SJECCD students to a publicly accessible folder on the SJECCD website.  The file was temporarily stored on the webserver and could be retrieved in search results.   Upon learning this, we promptly removed the file from the website and began an investigation into the incident.   Our investigation indicates that the incident was an accident, and not the result of any kind of malicious attack.What Information Was Involved?The personal information contained in the file may have included your name, date of birth, and Social Security number.  Although we are not aware at this time of any third party misusing your personal information, we take privacy and security very seriously and wanted to inform you about this situation, the steps we are taking to protect your information, and steps you may take to help protect yourself.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65161","California Attorney General"
"530","""We are sending this letter to you as part of East Valley Community Health Center’s (EVCHC) commitment to patient privacy. We take patient privacy very seriously, and it is important to us that you are made fully aware of a potential privacy issue. We learned that your personal information, including name, date of birth, address, medical record number, health diagnosis codes and insurance account number may have been compromised. However, information such as social security number and/or CA identification/driver license number was not included. On October 18th, an unknown individual logged into an EVCHC server without authorization and installed Troldesh/Shade, encrypting (locking) the files that were stored on the server, this is also known as a ransomware attack. One of the files that was encrypted had patient health information on it, which came from claims that were submitted to health plans. However, to date, there is no indication that the information has been accessed or used by the unauthorized individual.""","California Attorney General"
"531","""On or about November 7, 2016, a security researcher accessed one of our databases that was publicly exposed on the Internet. We reacted swiftly by reconfiguring the database and moving to secure the data. Because the security researcher had access to this database, your personal information may have been exposed. We have no reason to believe our users’ data was accessed for the purpose of identity theft, but we are nevertheless providing this notice to individuals whose personal information was contained in the exposed data. What Information Was Involved To date, we have identified the following categories of personal information stored in the affected data: name, address, e-mail address, SSN, ACH routing number, bank account number, bank statement data, birthdate, and birthplace. The great majority of the data in the affected databases related to real estate transactions, not to individual borrowers or contacts.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65361","California Attorney General"
"532","""Quest Diagnostics regrets to notify you of a breach of your Protected Health Information (PHI) which we became aware of on November 28, 2016.  Here are the details of the breach: On November 26th an unauthorized third party accessed the MyQuest by Care360® internet application and obtained PHI of approximately 34,000 patients.  The data included name, date of birth, lab results, and, in some instances, telephone numbers. The affected information did not include Social Security numbers, credit card information, insurance or other financial information.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65390","California Attorney General"
"533","""On October 28, 2016, BraceAbility, Inc. learned of a possible security incident involving its online ordering website. We immediately engaged independent IT forensic experts to assist with our investigation. While the investigation is  still  ongoing,  it  appears  that  your  credit  or  debit  card  data  may  have  been  compromised  if  you  made  an  online  purchase between September 24, 2016 and November 28, 2016. The information potentially exposed includes your name, address, card number, verification code, and/or the card’s expiration date as well as information related to your online purchase.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65407","California Attorney General"
"534","""On  April  2,  2016,  we  discovered  that  on  that  same  day,  as  a  result  of  a  sophisticated  network  intrusion,  an  unauthorized third party gained access to an email account and a file server.  Upon learning of the issue, our incident response team promptly launched an investigation and notified local law enforcement. As part of our investigation, we have been working very closely with one of the nation’s leading cybersecurity firms that regularly investigates and analyzes these types of incidents. Their investigation and remediation efforts are now completed, and we have removed  the  infection  from  our  system.  K  Partners  also  immediately  changed  passwords  and  took  other  steps  to  enhance the security of our network.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65435","California Attorney General"
